,,Rubro,Artículo,Nombre,Bt.LISTA 1,Patente
,,INFUSIONES Y HIERBAS,2093,ROSA MOSQUETA X KG,"35.460,00",1 kg
,,INFUSIONES Y HIERBAS,2095,MALVA X KG,"6.630,00",1 kg
,,INFUSIONES Y HIERBAS,2322,SEN HOJAS X KG,"7.050,00",1 kg
,,INFUSIONES Y HIERBAS,2347,TILO EN HOjAS,"84.330,00",1 kg
,,INFUSIONES Y HIERBAS,2420,PSYLLIUM MOLIDO X KG,"40.880,00",1 kg
,,LINEA GOURMET,1188,"CEREZAS AL MARRASCHINO X 170 g AGROIANNI""""","4.440,00",12 unidades
,,LINEA GOURMET,1193,"CEREZAS AL MARRASCHINO X 330 g AGROIANNI""""","5.980,00",12 unidades
,,LINEA GOURMET,1312,HOJAS DE PARRA X 500 GR,"16.240,00",12 unidades
,,LINEA GOURMET,1316,HUMO NATURAL X 250 ML,"3.360,00",6 unidades
,,LINEA GOURMET,1462,"PASTA ACEITUNAS CONDIM. X 110 g AGROIANNI""""","3.120,00",12 unidades
,,LINEA GOURMET,1463,"PASTA ACEITUNAS NEGRAS X 200 g AGROIANNI""""","3.180,00",12 unidades
,,LINEA GOURMET,1464,"PASTA ACEITUNAS VERDES X 200 g AGROIANNI""""","3.130,00",12 unidades
,,LINEA GOURMET,1465,PASTA DE AJI PICANTE X 90 g,"2.730,00",12 unidades
,,LINEA GOURMET,1468,"PASTA DE AJOS X 200 g AGROIANNI""""","2.280,00",12 unidades
,,LINEA GOURMET,1564,SALSA BARBACOA X 250 GR,"4.440,00",12 unidades
,,LINEA GOURMET,1566,"SALSA CHIMICHURRI X 250 g CASA DE LA TORRE""""","4.440,00",12 unidades
,,LINEA GOURMET,1571,SALSA DE SOJA X 180 CC,"3.340,00",12 unidades
,,LINEA GOURMET,1572,SALSA INGLESA X 180 CC,"4.300,00",12 unidades
,,LINEA GOURMET,1573,"SALSA JALAPEÑO ROJA X 180 CC RECETAS DE ENTONCES""""","4.740,00",12 unidades
,,LINEA GOURMET,1575,SALSA TERIYAKI X 250 CC,"4.130,00",12 unidades
,,LINEA GOURMET,1681,"DURAZNOS EN ALMIBAR X 800 G VALLE DE LAS REINAS""""","4.680,00",6 unidades
,,LINEA GOURMET,1683,"SALSA JALAPEÑO VERDE X 180 CC RECETAS DE ENTONCES""""","4.740,00",12 unidades
,,LINEA GOURMET,1687,"SALSA AJI PICANTE X 180 cc CRISTO DE LOS CERROS""""","4.560,00",12 unidades
,,LINEA GOURMET,1720,"SALSA JALAPEÑO AHUMADA X 180 cc RECETAS DE ENTONCES""""","4.740,00",12 unidades
,,LINEA GOURMET,1803,"SALSA CESAR 250 g CASA DE LA TORRE""""","4.440,00",12 unidades
,,LINEA GOURMET,2330,PASTA ALCAUCILES X 200 g,"2.330,00",12 unidades
,,MANTECAS Y PASTAS,1383,"MANTEQUILLA DE MANI ENTRENUTS"" X 370 g""","2.570,00",12 unidades
,,OTROS,1260,ENVASES VACIOS,"0,00",
,,PRODUCTOS SIN TACC,1539,PREMEZCLA P/PANIFI S/ TACC X 1 KG,"5.520,00",1 kg
,,PRODUCTOS SIN TACC,1540,PREMEZCLA P/PANIF S/TACC X 5 KG,"25.110,00",1 unidad
,,PRODUCTOS SIN TACC,1553,REBOZADOR S/GLUTEN X 500 GR,"3.420,00",30 unidades
,,SEMILLAS,1259,ENELDO SEMILLAS X KG,"7.900,00",1 kg
,,SEMILLAS,1414,MIX 10 SEMILLAS SALUD X KG,"5.810,00",1 kg
,,SEMILLAS,1415,MIX 7 SEMILLAS SALUD X KG,"4.030,00",1 kg
,,SEMILLAS,1421,MIX DE SLLAS ADELGAZ X KG,"4.040,00",1 kg
,,SEMILLAS,1422,MIX SLLAS PARA ENSALADA X KG,"6.080,00",1 kg
,,SEMILLAS,1551,QUINOA X KG,"8.210,00",1 kg
,,SEMILLAS,1581,SEMILLA DE AMAPOLA X KG.,"13.300,00",1 kg
,,SEMILLAS,1582,SEMILLA DE AMARANTO X KG,"8.500,00",1 kg
,,SEMILLAS,1583,SEMILLA DE CHIA NAC X KG.,"4.800,00",1 kg
,,SEMILLAS,1585,SEMILLA DE GIRASOL X KG.,"4.740,00",1 kg
,,SEMILLAS,1586,SEMILLA DE LINO X KG,"3.100,00",1 kg
,,SEMILLAS,1587,SEMILLA DE ZAPALLO PELADO X KG.,"15.360,00",1 kg
,,SEMILLAS,1589,SESAMO BLANCO X KG.,"7.180,00",1 kg
,,SEMILLAS,1591,SESAMO NEGRO X KG,"8.410,00",1 kg
,,SEMILLAS,2413,PSYLLIUM SEMILLA XKG,"19.070,00",1 kg
,,SEMILLAS,2433,SEMILLAS HINOJO X KG,"7.690,00",1 kg
,,SNACK,1794,MANI TOSTADO A GRANEL X KG,"2.640,00",10 kg
,,SNACK,2074,"BARRAS CRUDDA"" X40Gr - SIN TACC""","1.740,00",
,,SUPLEMENTOS,1866,PROTEINA AISLADA DE SUERO LACTEA,"7.700,00",1 kg
,,SUPLEMENTOS,2031,"COLAGENO HIDROLIZADO X KG PEPTAN B 2000 LD""""","28.060,00",1 kg
,,SUPLEMENTOS,2076,"CITRATO DE MAGNESIO EL NATURALISTA""""","5.710,00",
,,SUPLEMENTOS,2077,"CITRATO DE POTASIO EL NATURALISTA""""","5.150,00",
,,SUPLEMENTOS,2078,"GLICINATO DE MAGNESIO EL NATURALISA""""","5.510,00",
,,SUPLEMENTOS,2079,"ZINC EL NATURALISTA""""","5.490,00",
,,SUPLEMENTOS,2080,"CARDOMARIANO EL NATURALISTA""""","9.790,00",
,,SUPLEMENTOS,2082,"GINKGO BILOBA FORTE X COMP. EL NATURALISTA""""","1.730,00",
,,SUPLEMENTOS,2083,"VITAMINA E X 10 COMP. EL NATURALISTA""""","1.650,00",
,,SUPLEMENTOS,2085,"PROPOLEO EXT LIQUIDO X 30 ml EL NATURALISTA""""","2.840,00",
,,SUPLEMENTOS,2168,"REDUCTOR BLISTER X 10 COMP.EL NATURALISTA""""","2.040,00",
,,SUPLEMENTOS,2169,"CURCUMA ACTIVADA CON PIMIENTA X 30 COMP. EL NATURALISTA""""","5.050,00",
,,SUPLEMENTOS,2175,"VALERIANA BLISTER X 10 COMP. EL NATURALISTA""""","1.720,00",
,,SUPLEMENTOS,2211,"POTASIO + MAGNESIO X 30 COMP. EL NATURALISTA""""","5.580,00",
,,SUPLEMENTOS,2212,"RESVERATROL X 30 COMP. EL NATURALISTA""""","8.050,00",
,,SUPLEMENTOS,2213,"VITAMINA B12 X 30 EL NATURALISTA""""","6.570,00",
,,SUPLEMENTOS,2214,"ARANDANOS X 30 COMP. EL NATURALISTA""""","5.580,00",
,,SUPLEMENTOS,2216,"CAFE VERDE X 30 EL NATURALISTA""""","5.580,00",
,,SUPLEMENTOS,2217,"FLEBOTONICO X 30 EL NATURALISTA""""","5.740,00",
,,SUPLEMENTOS,2218,"CAROTENO X 10 EL NATURALISTA""""","1.820,00",
,,SUPLEMENTOS,2221,"PROPOLEO LIQUIDO X 100 ML EL NATURALISTA""""","6.300,00",
,,SUPLEMENTOS,2222,"COLAGENO X 10 EL NATURALISTA""""","1.850,00",
,,SUPLEMENTOS,2238,CREATINA MONOHIDRATO,"14.660,00",1 kg
,,SUPLEMENTOS,2256,SPIRULINA EN POLVO X KG,"30.190,00",1 kg
,,SUPLEMENTOS,2311,"VITAMINA C EL NATURALISTA"" X 60 COMP""","6.750,00",
,,TOMATE TRITURADO,1625,TOMATE TRITURADO 12 X 500 CC,"11.750,00",1 pack
,,TOMATE TRITURADO,1626,TOMATE TRITURADO 8 X 1 KG,"9.450,00",1 pack
,,TOMATE TRITURADO,1630,TOMATE CONDIMENTADO X 1 KG,"3.140,00",6 unidades
,,INFUSIONES Y HIERBAS,5044,MANZANILLA IMPORTADA,"39.820,00",1 kg
