,,Rubro,Artículo,Nombre,Bt.LISTA 1,Patente
,,"AZUCAR, CACAO Y REPOSTERIA",1211,COCO EN ESCAMAS X KG,"17.580,00",1 kg
,,"AZUCAR, CACAO Y REPOSTERIA",1212,COCO RALLADO X KG.,"10.190,00",1 kg
,,"AZUCAR, CACAO Y REPOSTERIA",1263,"ESENCIA ARTIFICIAL DE VAINILLA X 100 CC INDIAS"" """,810,12 unidades
,,"AZUCAR, CACAO Y REPOSTERIA",1523,POLVO PARA HORNEAR X 50 g,340,25 unidades
,,"AZUCAR, CACAO Y REPOSTERIA",2178,STEVIA HOJAS X KG,"22.150,00",1 kg
,,"AZUCAR, CACAO Y REPOSTERIA",2348,POLVO PARA HORNEAR X KG,"4.080,00",1 kg
,,BEBIDAS,1322,JUGO ARAND C/ CHIA X 1.5 LT,"2.800,00",6 unidades
,,BEBIDAS,1323,"JUGO DE ARAND C/ STEVIA X 1,5 LTS.","2.800,00",6 unidades
,,BEBIDAS,1324,"JUGO DE ARANDANOS X 1,5 LTS.","2.800,00",6 unidades
,,BEBIDAS,1325,"JUGO DE LIM, MENTA Y JENG X 1,5 LTS.","2.800,00",6 unidades
,,BEBIDAS,1727,LECHE DE COCO EN POLVO X KG,"25.030,00",1 kg
,,CEREALES,1114,ALMOHADITAS 2 SALVADO X KG.,"5.090,00",2.5 kilos.
,,CEREALES,1115,ALMOHADITAS CHOCOLATE X KG.,"8.170,00",2.5 kilos.
,,CEREALES,1117,ALMOHADITAS FRUTILLA X KG.,"7.620,00",2.5 kilos
,,CEREALES,1118,ALMOHADITAS LIMON X KG.,"7.620,00",2.5 kilos.
,,CEREALES,1121,ANILLOS DE AVENA Y MIEL X KG.,"6.910,00",2.5 kilos.
,,CEREALES,1122,ANILLOS FRUTADOS X KG.,"6.220,00",2.5 kilos.
,,CEREALES,1135,AVENA ARROLLADA GRUESA X KG,"2.530,00",1 kg
,,CEREALES,1136,AVENA INSTANTÁNEA X KG,"2.450,00",1 kg
,,CEREALES,1137,AVENA TRADICIONAL X KG.,"2.450,00",1 kg
,,CEREALES,1147,BASTONCITO SALVADO TRIGO Y AVENA X KG.,"6.140,00","2,5 kg"
,,CEREALES,1155,BOLITAS DE CHOCOLATE X KG.,"7.010,00","2,5 kg"
,,CEREALES,1228,COPOS DE MAIZ C/AZUCAR X KG,"3.100,00","2,5 kg"
,,CEREALES,1229,COPOS DE MAIZ X KG.,"2.700,00","2,5 kg"
,,CEREALES,1286,"GRANOLA MIX BERRIES KOS"" X KG""","8.460,00",1 kg
,,CEREALES,1287,"GRANOLA MIX ENERGETICA KOS"" X KG""","8.460,00",1 kg
,,CEREALES,1289,"GRANOLA MIX TROPICAL KOS"" X KG""","8.460,00",1 kg
,,CEREALES,1549,QUINOA INFLADA X KG.,"10.030,00",1 kg
,,CEREALES,1635,TUTUCAS CON AZUCAR X KG,"3.900,00",1 kg
,,CEREALES,1636,TUTUCAS SIN AZUCAR X KG,"3.870,00",5 kg
,,CEREALES,1897,GRANOLA MIX SIN PASAS X KG,"4.890,00",1 kg
,,CEREALES,1911,GRANOLA TRADICIONAL X KG,"5.020,00",1 kg
,,CEREALES,1912,GRANOLA CON CHOCO X KG,"5.750,00",1 kg
,,DESHIDRATADOS,1127,ARANDANOS DESHIDRATADOS X KG,"17.420,00",11.34
,,DESHIDRATADOS,1202,CHIPS DE BANANA X KG,"10.800,00","6,8 kg"
,,DESHIDRATADOS,1206,CIRUELA PRESIDENTE X KG.,"12.670,00",5 kg
,,DESHIDRATADOS,1207,CIRUELAS D`AGEN C/CAROZO X KG,"7.330,00",10 kg
,,DESHIDRATADOS,1208,CIRUELAS TIERNIZADAS S/C X KG,"9.690,00",5 kg
,,DESHIDRATADOS,1242,DATILES DE EGIPTO C/C X KG,"8.600,00",1 kg
,,DESHIDRATADOS,1271,FRUTA ESCURRIDA X KG,"4.150,00",10 kg
,,DESHIDRATADOS,1272,FRUTA GLASEADA X KG,"10.100,00",2 kg
,,DESHIDRATADOS,1273,FRUTILLA GLASEADA X KG,"25.130,00",1 kg
,,DESHIDRATADOS,1311,HIGOS TIERNIZADOS X KG,"11.670,00",5 kg
,,DESHIDRATADOS,1319,JENGIBRE GLASEADO X KG,"17.020,00",1 kg
,,DESHIDRATADOS,1394,MEDALLONES DURAZ. X KG,"12.420,00",5 kg
,,DESHIDRATADOS,1461,PASAS RUBIA SIN SLLA X KG,"6.960,00",10 kg
,,DESHIDRATADOS,1488,PERAS WILLIAMS X KG,"13.690,00",5 kg
,,DESHIDRATADOS,1632,TOMATE SECOS X KG,"13.210,00",5 kg
,,DESHIDRATADOS,1954,FRUTA MULTICOLOR X KG,"7.140,00",10 kg
,,DESHIDRATADOS,1955,PASAS MOROCHAS FLAME S/SEM X KG,"3.000,00",10 kg
,,DESHIDRATADOS,2440,PASAS DE UVA CEREZA CON SEMILLA X KG,"1.800,00",10 kg
,,DESHIDRATADOS,4456,PASAS MOROCHAS JUMBO - ORIGEN CHILE,"4.700,00",10 kg
,,DESHIDRATADOS,4463,AJO NEGRO X KG,"48.000,00",1 KG
,,"DULCES, MIEL Y CHOCOLATES",1129,ARROPE DE CHAÑAR X 600 GR,"4.980,00",12 unidades
,,"DULCES, MIEL Y CHOCOLATES",1130,ARROPE DE TUNA X 600 GR,"3.820,00",12 unidades
,,"DULCES, MIEL Y CHOCOLATES",1244,DULCE DE ALCAYOTA X 500 GR,"2.160,00",12 unidades
,,"DULCES, MIEL Y CHOCOLATES",1253,DULCE DE MEMBRILLO X 500 GR,"4.240,00",20 unidades
,,"DULCES, MIEL Y CHOCOLATES",1254,DULCE DE MEMBRILLO X 1 KG,"4.320,00",1 unidad
,,"DULCES, MIEL Y CHOCOLATES",1255,DULCE DE MEMBRILLO X 5 KG,"12.600,00",1 unidad
,,"DULCES, MIEL Y CHOCOLATES",1276,GARRAPIÑADA DE MANI X KG,"6.900,00",1 kg
,,"DULCES, MIEL Y CHOCOLATES",1308,"HIGOS EN ALMIBAR X 3,8 KG","34.130,00",2 unidades
,,"DULCES, MIEL Y CHOCOLATES",1309,HIGOS EN ALMIBAR X 450 GR,"4.380,00",12 unidades
